,var_id,AFD,CASet,DISC,AD,MP3
0,0,0.0,0.0,0.0,0.0,0.0
1,1,0.044785745216005306,0.002469135802469137,0.03143298059964727,0.01,0.06666666666666665
2,2,0.07633022646595419,0.007716049382716049,0.05731040564373898,0.02,0.125
3,3,0.09854979801796046,0.016137566137566138,0.07948412698412698,0.03,0.17500000000000004
4,4,0.11338019871971095,0.02826278659611993,0.09888007054673721,0.04,0.21666666666666667
5,5,0.12205016573492301,0.044832451499118166,0.11605379188712522,0.05,0.25
6,6,0.1254689453939141,0.06695767195767195,0.1313756613756614,0.06,0.275
7,7,0.12437534702942804,0.09649029982363316,0.14511022927689596,0.07,0.29166666666666663
8,8,0.11940298507462678,0.1371340388007055,0.15745590828924164,0.08,0.30000000000000004
